words,index,linuxWord,correctPOS,badClue
were,36,TRUE,TRUE,FALSE
had,41,TRUE,TRUE,FALSE
new,51,TRUE,TRUE,FALSE
year,63,TRUE,TRUE,FALSE
people,70,TRUE,TRUE,FALSE
percent,73,TRUE,TRUE,FALSE
government,79,TRUE,TRUE,FALSE
time,80,TRUE,TRUE,FALSE
years,83,TRUE,TRUE,FALSE
world,86,TRUE,TRUE,FALSE
do,89,TRUE,TRUE,FALSE
president,91,TRUE,TRUE,FALSE
state,93,TRUE,TRUE,FALSE
united,105,TRUE,TRUE,FALSE
many,110,TRUE,TRUE,FALSE
states,113,TRUE,TRUE,FALSE
city,116,TRUE,TRUE,FALSE
made,117,TRUE,TRUE,FALSE
did,120,TRUE,TRUE,FALSE
national,122,TRUE,TRUE,FALSE
day,123,TRUE,TRUE,FALSE
country,124,TRUE,TRUE,FALSE
such,126,TRUE,TRUE,FALSE
second,127,TRUE,TRUE,FALSE
then,128,TRUE,TRUE,FALSE
company,129,TRUE,TRUE,FALSE
group,130,TRUE,TRUE,FALSE
being,135,TRUE,TRUE,FALSE
war,137,TRUE,TRUE,FALSE
south,140,TRUE,TRUE,FALSE
minister,142,TRUE,TRUE,FALSE
police,143,TRUE,TRUE,FALSE
including,145,TRUE,TRUE,FALSE
team,146,TRUE,TRUE,FALSE
international,147,TRUE,TRUE,FALSE
week,148,TRUE,TRUE,FALSE
officials,149,TRUE,TRUE,FALSE
high,153,TRUE,TRUE,FALSE
part,154,TRUE,TRUE,FALSE
told,155,TRUE,TRUE,FALSE
end,157,TRUE,TRUE,FALSE
former,158,TRUE,TRUE,FALSE
make,160,TRUE,TRUE,FALSE
work,162,TRUE,TRUE,FALSE
home,164,TRUE,TRUE,FALSE
school,165,TRUE,TRUE,FALSE
party,166,TRUE,TRUE,FALSE
house,167,TRUE,TRUE,FALSE
old,168,TRUE,TRUE,FALSE
long,174,TRUE,TRUE,FALSE
called,176,TRUE,TRUE,FALSE
military,179,TRUE,TRUE,FALSE
used,181,TRUE,TRUE,FALSE
next,183,TRUE,TRUE,FALSE
game,187,TRUE,TRUE,FALSE
take,191,TRUE,TRUE,FALSE
north,194,TRUE,TRUE,FALSE
security,195,TRUE,TRUE,FALSE
season,196,TRUE,TRUE,FALSE
public,199,TRUE,TRUE,FALSE
early,200,TRUE,TRUE,FALSE
according,201,TRUE,TRUE,FALSE
several,202,TRUE,TRUE,FALSE
court,203,TRUE,TRUE,FALSE
say,204,TRUE,TRUE,FALSE
foreign,206,TRUE,TRUE,FALSE
set,209,TRUE,TRUE,FALSE
political,210,TRUE,TRUE,FALSE
says,211,TRUE,TRUE,FALSE
market,212,TRUE,TRUE,FALSE
family,214,TRUE,TRUE,FALSE
life,215,TRUE,TRUE,FALSE
general,217,TRUE,TRUE,FALSE
left,219,TRUE,TRUE,FALSE
good,220,TRUE,TRUE,FALSE
top,221,TRUE,TRUE,FALSE
university,222,TRUE,TRUE,FALSE
number,224,TRUE,TRUE,FALSE
major,225,TRUE,TRUE,FALSE
known,226,TRUE,TRUE,FALSE
points,227,TRUE,TRUE,FALSE
won,228,TRUE,TRUE,FALSE
month,230,TRUE,TRUE,FALSE
dollars,231,TRUE,TRUE,FALSE
bank,232,TRUE,TRUE,FALSE
use,235,TRUE,TRUE,FALSE
members,236,TRUE,TRUE,FALSE
area,238,TRUE,TRUE,FALSE
found,239,TRUE,TRUE,FALSE
official,240,TRUE,TRUE,FALSE
place,242,TRUE,TRUE,FALSE
based,244,TRUE,TRUE,FALSE
third,246,TRUE,TRUE,FALSE
times,247,TRUE,TRUE,FALSE
took,248,TRUE,TRUE,FALSE
right,249,TRUE,TRUE,FALSE
days,250,TRUE,TRUE,FALSE
local,251,TRUE,TRUE,FALSE
economic,252,TRUE,TRUE,FALSE
countries,253,TRUE,TRUE,FALSE
see,254,TRUE,TRUE,FALSE
best,255,TRUE,TRUE,FALSE
report,256,TRUE,TRUE,FALSE
killed,257,TRUE,TRUE,FALSE
held,258,TRUE,TRUE,FALSE
business,259,TRUE,TRUE,FALSE
west,260,TRUE,TRUE,FALSE
does,261,TRUE,TRUE,FALSE
own,262,TRUE,TRUE,FALSE
came,264,TRUE,TRUE,FALSE
law,265,TRUE,TRUE,FALSE
months,266,TRUE,TRUE,FALSE
women,267,TRUE,TRUE,FALSE
power,269,TRUE,TRUE,FALSE
think,270,TRUE,TRUE,FALSE
service,271,TRUE,TRUE,FALSE
children,272,TRUE,TRUE,FALSE
bush,273,TRUE,TRUE,FALSE
show,274,TRUE,TRUE,FALSE
help,276,TRUE,TRUE,FALSE
chief,277,TRUE,TRUE,FALSE
system,279,TRUE,TRUE,FALSE
support,281,TRUE,TRUE,FALSE
series,282,TRUE,TRUE,FALSE
play,283,TRUE,TRUE,FALSE
office,284,TRUE,TRUE,FALSE
following,285,TRUE,TRUE,FALSE
meeting,287,TRUE,TRUE,FALSE
expected,288,TRUE,TRUE,FALSE
late,289,TRUE,TRUE,FALSE
games,291,TRUE,TRUE,FALSE
league,293,TRUE,TRUE,FALSE
reported,294,TRUE,TRUE,FALSE
final,295,TRUE,TRUE,FALSE
added,296,TRUE,TRUE,FALSE
white,299,TRUE,TRUE,FALSE
history,300,TRUE,TRUE,FALSE
man,301,TRUE,TRUE,FALSE
men,302,TRUE,TRUE,FALSE
became,303,TRUE,TRUE,FALSE
want,304,TRUE,TRUE,FALSE
march,305,TRUE,TRUE,FALSE
case,306,TRUE,TRUE,FALSE
few,307,TRUE,TRUE,FALSE
run,308,TRUE,TRUE,FALSE
money,309,TRUE,TRUE,FALSE
began,310,TRUE,TRUE,FALSE
open,311,TRUE,TRUE,FALSE
name,312,TRUE,TRUE,FALSE
trade,313,TRUE,TRUE,FALSE
center,314,TRUE,TRUE,FALSE
oil,317,TRUE,TRUE,FALSE
film,320,TRUE,TRUE,FALSE
win,321,TRUE,TRUE,FALSE
led,322,TRUE,TRUE,FALSE
east,323,TRUE,TRUE,FALSE
central,324,TRUE,TRUE,FALSE
air,326,TRUE,TRUE,FALSE
come,327,TRUE,TRUE,FALSE
town,329,TRUE,TRUE,FALSE
leader,330,TRUE,TRUE,FALSE
army,331,TRUE,TRUE,FALSE
line,332,TRUE,TRUE,FALSE
played,335,TRUE,TRUE,FALSE
prime,336,TRUE,TRUE,FALSE
death,337,TRUE,TRUE,FALSE
companies,338,TRUE,TRUE,FALSE
least,339,TRUE,TRUE,FALSE
forces,341,TRUE,TRUE,FALSE
saying,346,TRUE,TRUE,FALSE
know,347,TRUE,TRUE,FALSE
federal,348,TRUE,TRUE,FALSE
peace,350,TRUE,TRUE,FALSE
earlier,351,TRUE,TRUE,FALSE
capital,352,TRUE,TRUE,FALSE
force,353,TRUE,TRUE,FALSE
great,354,TRUE,TRUE,FALSE
union,355,TRUE,TRUE,FALSE
released,357,TRUE,TRUE,FALSE
small,358,TRUE,TRUE,FALSE
department,359,TRUE,TRUE,FALSE
health,361,TRUE,TRUE,FALSE
head,363,TRUE,TRUE,FALSE
night,365,TRUE,TRUE,FALSE
big,366,TRUE,TRUE,FALSE
cup,367,TRUE,TRUE,FALSE
election,368,TRUE,TRUE,FALSE
region,369,TRUE,TRUE,FALSE
director,370,TRUE,TRUE,FALSE
talks,371,TRUE,TRUE,FALSE
program,372,TRUE,TRUE,FALSE
statement,375,TRUE,TRUE,FALSE
district,378,TRUE,TRUE,FALSE
born,380,TRUE,TRUE,FALSE
development,381,TRUE,TRUE,FALSE
leaders,382,TRUE,TRUE,FALSE
council,383,TRUE,TRUE,FALSE
record,385,TRUE,TRUE,FALSE
county,387,TRUE,TRUE,FALSE
went,389,TRUE,TRUE,FALSE
point,390,TRUE,TRUE,FALSE
spokesman,392,TRUE,TRUE,FALSE
member,394,TRUE,TRUE,FALSE
plan,395,TRUE,TRUE,FALSE
financial,396,TRUE,TRUE,FALSE
recent,398,TRUE,TRUE,FALSE
campaign,399,TRUE,TRUE,FALSE
become,400,TRUE,TRUE,FALSE
troops,401,TRUE,TRUE,FALSE
lost,403,TRUE,TRUE,FALSE
music,404,TRUE,TRUE,FALSE
got,406,TRUE,TRUE,FALSE
need,409,TRUE,TRUE,FALSE
lead,411,TRUE,TRUE,FALSE
hit,417,TRUE,TRUE,FALSE
rights,418,TRUE,TRUE,FALSE
information,420,TRUE,TRUE,FALSE
others,424,TRUE,TRUE,FALSE
control,425,TRUE,TRUE,FALSE
large,427,TRUE,TRUE,FALSE
economy,428,TRUE,TRUE,FALSE
press,429,TRUE,TRUE,FALSE
agency,430,TRUE,TRUE,FALSE
water,431,TRUE,TRUE,FALSE
died,432,TRUE,TRUE,FALSE
career,433,TRUE,TRUE,FALSE
making,434,TRUE,TRUE,FALSE
deal,436,TRUE,TRUE,FALSE
attack,437,TRUE,TRUE,FALSE
side,438,TRUE,TRUE,FALSE
better,440,TRUE,TRUE,FALSE
main,445,TRUE,TRUE,FALSE
due,446,TRUE,TRUE,FALSE
committee,447,TRUE,TRUE,FALSE
building,448,TRUE,TRUE,FALSE
conference,449,TRUE,TRUE,FALSE
club,450,TRUE,TRUE,FALSE
decision,452,TRUE,TRUE,FALSE
stock,453,TRUE,TRUE,FALSE
given,455,TRUE,TRUE,FALSE
give,456,TRUE,TRUE,FALSE
announced,458,TRUE,TRUE,FALSE
television,459,TRUE,TRUE,FALSE
industry,460,TRUE,TRUE,FALSE
order,461,TRUE,TRUE,FALSE
young,462,TRUE,TRUE,FALSE
age,465,TRUE,TRUE,FALSE
start,466,TRUE,TRUE,FALSE
administration,467,TRUE,TRUE,FALSE
prices,469,TRUE,TRUE,FALSE
round,470,TRUE,TRUE,FALSE
nations,472,TRUE,TRUE,FALSE
human,474,TRUE,TRUE,FALSE
defense,476,TRUE,TRUE,FALSE
asked,477,TRUE,TRUE,FALSE
total,478,TRUE,TRUE,FALSE
players,480,TRUE,TRUE,FALSE
bill,481,TRUE,TRUE,FALSE
important,482,TRUE,TRUE,FALSE
southern,483,TRUE,TRUE,FALSE
move,484,TRUE,TRUE,FALSE
fire,485,TRUE,TRUE,FALSE
population,486,TRUE,TRUE,FALSE
include,489,TRUE,TRUE,FALSE
further,490,TRUE,TRUE,FALSE
nuclear,491,TRUE,TRUE,FALSE
street,492,TRUE,TRUE,FALSE
taken,493,TRUE,TRUE,FALSE
